pmid	author	order
27824156	Jingming_Cao	2
27824156	Nadezda_Kosyakova	3
27824156	Kristin_Mrasek	4
27824156	Thomas_Liehr	5
27824156	Thomas_Efferth	6
27819514	Raghavendar_Chandran	1
27819514	Anuj_Sharma	2
27819514	Manish_Bhomia	3
27819514	Nagaraja_S_Balakathiresan	4
27819514	Barbara_E_Knollmann-Ritschel	5
27819514	Radha_K_Maheshwari	6
27814527	Qin_Qiao	1
27814527	Séverine_Le_Manach	2
27814527	Hélène_Huet	3
27814527	Evelyne_Duvernois-Berthet	4
27814527	Soraya_Chaouch	5
27814527	Charlotte_Duval	6
27814527	Benoit_Sotton	7
27814527	Loïc_Ponger	8
27814527	Arul_Marie	9
27814527	Lucrèce_Mathéron	10
27814527	Sarah_Lennon	11
27814527	Gérard_Bolbach	12
27814527	Chakib_Djediat	13
27814527	Cécile_Bernard	14
27814527	Marc_Edery	15
27814527	Benjamin_Marie	16
27812180	Mohammed_I_Khan	1
27812180	Anna_M_Czarnecka	2
27812180	Sławomir_Lewicki	3
27812180	Igor_Helbrecht	4
27812180	Klaudia_Brodaczewska	5
27812180	Irena_Koch	6
27812180	Robert_Zdanowski	7
27812180	Magdalena_Król	8
27812180	Cezary_Szczylik	9
27765658	John_J_Guardiola	1
27765658	Juliane_I_Beier	2
27765658	K_Cameron_Falkner	3
27765658	Benjamin_Wheeler	4
27765658	Craig_James_McClain	5
27765658	Matt_Cave	6
27717806	Yafang_Zhang	1
27717806	Elizabeth_J_Crofton	2
27717806	Xiuzhen_Fan	3
27717806	Dingge_Li	4
27717806	Fanping_Kong	5
27717806	Mala_Sinha	6
27717806	Bruce_A_Luxon	7
27717806	Heidi_M_Spratt	8
27717806	Cheryl_F_Lichti	9
27717806	Thomas_A_Green	10
27808086	Jie_Luo	1
27808086	Yuejin_Liang	2
27808086	Fanping_Kong	3
27808086	Jingfan_Qiu	4
27808086	Xinjian_Liu	5
27808086	Ailing_Chen	6
27808086	Bruce_A_Luxon	7
27808086	Hannah_W_Wu	8
27808086	Yong_Wang	9
27807068	Ali_Azimi	1
27807068	Kimberley_L_Kaufman	2
27807068	Marina_Ali	3
27807068	Steven_Kossard	4
27807068	Pablo_Fernandez-Penas	5
27806685	M_Vailati-Riboni	1
27806685	S_Meier	2
27806685	C_R_Burke	3
27806685	J_K_Kay	4
27806685	M_D_Mitchell	5
27806685	C_G_Walker	6
27806685	M_A_Crookenden	7
27806685	A_Heiser	8
27806685	S_L_Rodriguez-Zas	9
27806685	J_R_Roche	10
27806685	J_J_Loor	11
27664182	Yo-Han_Kim	1
27664182	Noriyuki_Toji	2
27664182	Keiichiro_Kizaki	3
27664182	Shiro_Kushibiki	4
27664182	Toshihiro_Ichijo	5
27664182	Shigeru_Sato	6
27559149	Cecilia_Dieci	1
27559149	Valentina_Lodde	2
27559149	Rémi_Labreque	3
27559149	Isabelle_Dufort	4
27559149	Irene_Tessaro	5
27559149	Marc-André_Sirard	6
27559149	Alberto_M_Luciano	7
27454708	Joseph_Kwon	1
27454708	Kyung_Seo_Oh	2
27454708	Se-Young_Cho	3
27454708	Mi_Ae_Bang	4
27454708	Hwan_Seon_Kim	5
27454708	Bipin_Vaidya	6
27454708	Duwoon_Kim	7
27704275	Yang_Wang	1
27704275	Zhi-Hao_Huang	2
27704275	Yang-Jia_Li	3
27704275	Gui-Wei_He	4
27704275	Ru-Yuan_Yu	5
27704275	Jie_Yang	6
27704275	Wan-Ting_Liu	7
27704275	Bin_Li	8
27704275	Qing-Yu_He	9
27782354	Michael_Melin	1
27782354	Andreas_Montelius	2
27782354	Lars_Rydén	3
27782354	Adrian_Gonon	4
27782354	Inger_Hagerman	5
27782354	Eric_Rullman	6
27777632	Zoe_Daniel	1
27777632	Angelina_Swali	2
27777632	Richard_Emes	3
27777632	Simon_C_Langley-Evans	4
27777363	Junhua_Zhou	1
27777363	Brian_Lam	2
27777363	Sudeshna_G_Neogi	3
27777363	Giles_S_H_Yeo	4
27777363	Elena_A_B_Azizan	5
27777363	Morris_J_Brown	6
27775663	Hongtao_Guo	1
27775663	Xuyan_Niu	2
27775663	Yan_Gu	3
27775663	Cheng_Lu	4
27775663	Cheng_Xiao	5
27775663	Kevin_Yue	6
27775663	Ge_Zhang	7
27775663	Xiaohua_Pan	8
27775663	Miao_Jiang	9
27775663	Yong_Tan	10
27775663	Hongwei_Kong	11
27775663	Zhenli_Liu	12
27775663	Guowang_Xu	13
27775663	Aiping_Lu	14
27641506	Anirban_Roychowdhury	1
27641506	Sudip_Samadder	2
27641506	Pijush_Das	3
27641506	Sapan_Mandloi	4
27641506	Sankar_Addya	5
27641506	Chandraditya_Chakraborty	6
27641506	Partha_Sarathi_Basu	7
27641506	Ranajit_Mondal	8
27641506	Anup_Roy	9
27641506	Saikat_Chakrabarti	10
27641506	Susanta_Roychoudhury	11
27641506	Chinmay_Kumar_Panda	12
27764764	Ryan_D_Sheldon	1
27764764	Kayla_M_Kanosky	2
27764764	Kevin_D_Wells	3
27764764	Lili_Miles	4
27764764	James_W_Perfield	5
27764764	Stavra_Xanthakos	6
27764764	Thomas_H_Inge	7
27764764	R_Scott_Rector	8
27762100	M_Fonteneau	1
27762100	D_Filliol	2
27762100	P_Anglard	3
27762100	K_Befort	4
27762100	P_Romieu	5
27762100	J_Zwiller	6
27656771	Krishnan_MohanKumar	1
27656771	Kopperuncholan_Namachivayam	2
27656771	Feng_Cheng	3
27656771	Rays_H_Y_Jiang	4
27656771	Jaime_Flores-Torres	5
27656771	Benjamin_A_Torres	6
27656771	Akhil_Maheshwari	7
27753891	Dawid_Walas	1
27753891	Karol_Nowicki-Osuch	2
27753891	Dominic_Alibhai	3
27753891	Julian_Paton	4
27753538	Francesca_Bianchi	1
27753538	Michele_Sommariva	2
27753538	Loris_De_Cecco	3
27753538	Tiziana_Triulzi	4
27753538	Sandra_Romero-Cordoba	5
