pmid	author	order
26606708	Sarah_Iracane	2
26606708	Emmanuel_Srofenyoh	3
26606708	Fiona_Bryce	4
26606708	Liz_Floyd	5
26606708	Brianne_Kallam	6
26606708	Adeyemi_Olufolabi	7
26606708	Romeck_Van_Zeyl	8
26606708	Medge_Owen	9
26605558	L_Tonmyr	1
26605456	B_Anthony_Armson	1
26605456	David_S_Allan	2
26605456	Robert_F_Casper	3
26605450	Innie_Chen	1
26605450	Deborah_Money	2
26605450	Paul_Yong	3
26605450	Christina_Williams	4
26605450	Catherine_Allaire	5
26605449	Shaila_Misri	1
26605449	Elena_Swift	2
26600615	Faris_Dababneh	1
26600615	Erin_K_Nichols	2
26600615	Majed_Asad	3
26600615	Yousef_Haddad	4
26600615	Francis_Notzon	5
26600615	Robert_Anderson	6
26600612	Meaghann_S_Weaver	1
26600612	Knut_Lönnroth	2
26600612	Scott_C_Howard	3
26600612	Debra_L_Roter	4
26600612	Catherine_G_Lam	5
26549910	Allison_E_Gocotano	1
26549910	Fidelita_D_Dico	2
26549910	Neil_R_Calungsod	3
26549910	Julie_L_Hall	4
26549910	Megan_L_Counahan	5
26549902	Valérie_R_Louis	1
26549902	Anja_Schoeps	2
26549902	Justin_Tiendrebéogo	3
26549902	Claudia_Beiersmann	4
26549902	Maurice_Yé	5
26549902	Marie_R_Damiba	6
26549902	Guang_Y_Lu	7
26549902	André_H_Mbayiha	8
26549902	Manuela_De_Allegri	9
26549902	Albrecht_Jahn	10
26549902	Ali_Sié	11
26549902	Heiko_Becher	12
26549902	Olaf_Müller	13
26487815	Laure_Wolgensinger	1
26487812	Marc-Antoine_Crocq	1
26478628	Samath_D_Dharmaratne	1
26478628	Achala_Upendra_Jayatilleke	2
26478628	Achini_C_Jayatilleke	3
26478615	Ziad_Obermeyer	1
26478615	Samer_Abujaber	2
26478615	Maggie_Makar	3
26478615	Samantha_Stoll	4
26478615	Stephanie_R_Kayden	5
26478615	Lee_A_Wallis	6
26478615	Teri_A_Reynolds	7
26478613	Frank_Pega	1
26478613	Caroline_Shaw	2
26478613	Kumanan_Rasanathan	3
26478613	Jennifer_Yablonski	4
26478613	Ichiro_Kawachi	5
26478613	Simon_Hales	6
26478609	Jacques_D_A_Ndawinz	1
26478609	Xavier_Anglaret	2
26478609	Eric_Delaporte	3
26478609	Sinata_Koulla-Shiro	4
26478609	Delphine_Gabillard	5
26478609	Albert_Minga	6
26478609	Dominique_Costagliola	7
26478609	Virginie_Supervie	8
26474231	Nathalie_Fleming	1
26474231	Teresa_O'Driscoll	2
26474231	Gisela_Becker	3
26474231	Rachel_F_Spitzer	4
26474231	Lisa_Allen	5
26474231	Debra_Millar	6
26474231	Philippa_Brain	7
26474231	Nancy_Dalziel	8
26474231	Elise_Dubuc	9
26474231	Julie_Hakim	10
26474231	Deanna_Murphy	11
26474231	Rachel_Spitzer	12
26474231	Lisa_Allen	13
26474231	Debra_Millar	14
26474231	Philippa_Brain	15
26474231	Nancy_Dalziel	16
26474231	Elise_Dubuc	17
26474231	Julie_Hakim	18
26474231	Deanna_Murphy	19
26474231	Rachel_Spitzer	20
26474228	Ann_Kinga_Malinowski	1
26474228	Jonathan_Sen	2
26474228	Mathew_Sermer	3
26474226	Bill_Ressl	1
26474226	Maeve_O'Beirne	2
26474225	Sawsan_Al-Obaidly	1
26474225	Jacqueline_Parrish	2
26474225	Kellie_E_Murphy	3
26474225	Phyllis_Glanc	4
26474225	Cynthia_Maxwell	5
26462259	Juliya_Hemmett	1
26462259	Lee_Er	2
26462259	Helen_H_L_Chiu	3
26462259	Christopher_Cheung	4
26462259	Ognjenka_Djurdjev	5
26462259	Adeera_Levin	6
26447732	Stuart_Iglesias	1
26447732	Jude_Kornelsen	2
26447732	Robert_Woollard	3
26447732	Nadine_Caron	4
26447732	Garth_Warnock	5
26447732	Randall_Friesen	6
26447732	Peter_Miles	7
26447732	Victoria_Vogt_Haines	8
26447732	Bret_Batchelor	9
26447732	Jenny_Blake	10
26447732	Garey_Mazowita	11
26447732	Roy_Wyman	12
26447732	Brian_Geller	13
26447732	Braam_de_Klerk	14
26405059	Sylvie_Stachenko	1
26405059	Jeanine_Pommier	2
26405059	Cécile_You	3
26405059	Marion_Porcherie	4
26405059	Justine_Halley	5
26405059	Eric_Breton	6
26400709	S_Brand	1
26400709	H_R_Draper	2
26400709	D_A_Enarson	3
26400709	N_Beyers	4
26400709	M_Claassens	5
26400702	A_DeLuca	1
26400702	M_Frick	2
26400702	E_Lessem	3
26400702	J_Kanouse	4
26400702	D_Wegener	5
26400702	L_Ruiz_Mingote	6
26400601	C_M_Yuen	1
26400601	C_A_Rodriguez	2
26400601	S_Keshavjee	3
26400601	M_C_Becerra	4
26399289	Y_Lin	1
26399289	L-X_Wang	2
26399289	L-X_Qiu	3
26399289	Q_Huang	4
26399289	Q_Shu	5
26399289	H-X_Lin	6
26399289	X_Meng	7
26399289	X-L_Zeng	8
26399289	L-X_Xiao	9
26399289	T_S_Bam	10
26399289	C-Y_Chiang	11
26380104	Guillaume_Bollée	1
26380104	Pierre_Cochat	2
26380104	Michel_Daudon	3
26378770	A_Stankiewicz	1
26378770	M_Herel	2
26378770	M_DesMeules	3
26366824	R_Douglas_Wilson	1
26366824	Alain_Gagnon	2
26366824	François_Audibert	3
26366824	Carla_Campagnolo	4
26366824	June_Carroll	5
26366824	Jo-Ann_Brock	6
26366824	Karen_Chong	7
26366824	Jo-Ann_Johnson	8
26366824	William_MacDonald	9
26366824	Nanette_Okun	10
26366824	Melanie_Pastuck	11
26366824	Karine_Vallee-Pouliot	12
26366824	R_Douglas_Wilson	13
26366824	François_Audibert	14
26366824	Jo-Ann_Brock	15
26366824	Carla_Campagnolo	16
26366824	June_Carroll	17
26366824	Karen_Chong	18
26366824	Alain_Gagnon	19
26366824	Jo-Ann_Johnson	20
26366824	William_MacDonald	21
26366824	Nanette_Okun	22
26366824	Melanie_Pastuck	23
26366824	Karine_Vallee-Pouliot	24
26366822	Olga_Bougie	1
26366822	Glenn_Posner	2
26366822	Amanda_Y_Black	3
26366821	Glenn_Posner	1
26366821	Sarah_Finlayson	2
26366821	Vilma_Luna	3
26366821	Dianne_Miller	4
26366821	Michael_Fung-Kee-Fung	5
26346754	Simon_R_Walker	1
26346754	Ranveer_Brar	2
26346754	Frederick_Eng	3
26346754	Paul_Komenda	4
26346754	Claudio_Rigatto	5
26346754	Bhanu_Prasad	6
26346754	Clara_J_Bohm	7
26346754	Leroy_J_Storsley	8
26346754	Navdeep_Tangri	9
26334607	Venu_Jain	1
26334607	Radha_Chari	2
26334607	Sharon_Maslovitz	3
26334607	Dan_Farine	4
26334607	Emmanuel_Bujold	5
26334607	Robert_Gagnon	6
26334607	Melanie_Basso	7
26334607	Hayley_Bos	8
26334607	Richard_Brown	9
26334607	Stephanie_Cooper	10
26334607	Katy_Gouin	11
26334607	N_Lynne_McLeod	12
26334607	Savas_Menticoglou	13
26334607	William_Mundle	14
26334607	Christy_Pylypjuk	15
26334607	Anne_Roggensack	16
26334607	Frank_Sanderson	17
